state,total_votes
Delaware,504010
District of Columbia,309190
Florida,11075446
Georgia,4992664
Hawaii,574341
Idaho,867971
Illinois,5874066
Indiana,3032815
Iowa,1687871
Kansas,1334330
Kentucky,2135193
Louisiana,2148062
Maine,786337
Maryland,2790933
Massachusetts,3482216
Michigan,5531882
Minnesota,3272487
Mississippi,1159362
Missouri,3010316
Montana,605738
Nebraska,942480
Nevada,1337362
New Hampshire,804453
New Jersey,4112347
New Mexico,921349
New York,6687155
North Carolina,5493233
North Dakota,361808
Ohio,5764587
Oklahoma,1560699
Oregon,2351850
Pennsylvania,6824120
Rhode Island,513503
South Carolina,2513329
South Dakota,422609
Tennessee,3049514
Texas,11255671
Utah,1444449
Vermont,367761
Virginia,4442598
Washington,4024195
West Virginia,790253
Wisconsin,3297174
Wyoming,276765
Alabama,2309900
Alaska,312033
Arkansas,1209417
California,16308413
Colorado,3217167
Connecticut,1821878
United States,153291065
Arizona,3377763
