state,total_votes
Delaware,490935
Georgia,4946038
Idaho,858780
Illinois,5726210
Iowa,1669815
Kansas,1330054
Kentucky,2134725
Louisiana,2071543
Maine,761847
Massachusetts,3343516
Michigan,5463742
Minnesota,3214967
Mississippi,1153803
Montana,602736
Nebraska,893061
New Hampshire,795603
New Jersey,4011246
New Mexico,914656
North Carolina,5432052
Oklahoma,1556361
Oregon,2300544
Rhode Island,492083
South Carolina,2512810
South Dakota,420219
Tennessee,2941711
Texas,11081312
Virginia,4379388
West Virginia,777070
Wyoming,270866
Alabama,2303212
Alaska,309905
Arizona,3346810
Arkansas,1184760
Colorado,3196715
Georgia,4908103
